Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2276288,A Discipline of Programming,Edsger W. Dijkstra,"Dijkstra, Edsger W.",,"=""013215871X""","=""9780132158718""",5,4.24,Pearson,Paperback,217,1976,1976,,2016/02/07,,,read,,,,1,0
13648824,الايديولوجيا واليوتوبيا: مقدمة في سوسيولوجيا المعرفة,Karl Mannheim,"Mannheim, Karl",محمد رجا الديريني,"=""""","=""""",5,3.93,شركة المكتبات الكويتية,Paperback,351,1980,1929,2016/02/05,2016/01/11,,,read,,,,1,0
50276,The Devil,Leo Tolstoy,"Tolstoy, Leo",,"=""1419159097""","=""9781419159091""",5,3.72,"Kessinger Publishing, LLC",Paperback,56,2004,1911,2016/02/01,2016/02/01,,,read,,,,1,0
537094,The Overcoat,Nikolai Gogol,"Gogol, Nikolai",,"=""1419176528""","=""9781419176524""",5,4.15,Kessinger Pub Co,Paperback,57,2004,1842,2016/02/01,2016/02/01,,,read,,,,1,0
43255,Not Without My Daughter,Betty Mahmoody,"Mahmoody, Betty",,"=""0552152161""","=""9780552152167""",5,4.15,Transworld Publishers Ltd,Paperback,528,2004,1987,,2016/01/24,,,read,,,,1,0
18586609,Les prisons,Jean Favard,"Favard, Jean",,"=""2080352156""","=""9782080352156""",3,3.00,Flammarion,Paperback,126,1994,1994,,2016/01/24,,,read,,,,1,0
1765157,Civilisation,Georges Duhamel,"Duhamel, Georges",,"=""2715218419""","=""9782715218413""",5,3.88,MERCURE DE FRAN,Paperback,256,1993,1918,,2016/01/24,,,read,,,,1,0
212934,Les Identités meurtrières,Amin Maalouf,"Maalouf, Amin",Maalouf,"=""2253150053""","=""9782253150053""",2,3.90,Livre de Poche,Pocket Book,189,2001,1998,,2016/01/24,,,read,,,,1,0
1816857,Toute l'histoire du monde,Jean-Claude Barreau,"Barreau, Jean-Claude",Guillaume Bigot,"=""2253118605""","=""9782253118602""",5,3.21,Livre De Poche,Mass Market Paperback,412,2007,2005,,2016/01/24,,,read,,,,1,0
572460,Les Mots,Jean-Paul Sartre,"Sartre, Jean-Paul",,"=""2070366073""","=""9782070366071""",5,3.75,Folio,Paperback,224,1972,1964,,2016/01/24,,,read,,,,1,0
1344,Plato's Phaedrus: A Defense of a Philosophic Art of Writing,Ronna Burger,"Burger, Ronna",,"=""0817300147""","=""9780817300142""",3,2.50,Univ of Alabama Pr,Hardcover,187,1980,1980,,2016/01/24,,,read,,,,1,0
480166,The Search After Truth,Nicolas Malebranche,"Malebranche, Nicolas","Thomas M. Lennon, Paul J. Olscamp","=""0521589959""","=""9780521589956""",3,3.06,Cambridge University Press,Paperback,824,1997,1675,,2016/01/24,,,read,,,,1,0
1380085,Le repos du guerrier,Christiane Rochefort,"Rochefort, Christiane",,"=""225301026X""","=""9782253010265""",5,3.55,Librairie Générale Française,Mass Market Paperback,286,1992,1958,,2016/01/24,,,read,,,,1,0
52828,Don Juan,Molière,"Molière, Molière",Richard Wilbur,"=""015601310X""","=""9780156013109""",4,3.58,Ecco,Paperback,146,2001,1665,,2016/01/24,,,read,,,,1,0
2710328,Le Procès De Franz Kafka,Jean-Claude Götting,"Götting, Jean-Claude","Franz Kafka, Alexandre Vialatte, Claude David","=""2737627443""","=""9782737627446""",4,3.96,FUTURO GALLI,Hardcover,192,1992,1925,2016/01/24,2016/01/10,,,read,,,,1,0
1838025,Traité d'athéologie: Physique de la métaphysique,Michel Onfray,"Onfray, Michel",,"=""2253115576""","=""9782253115571""",1,3.78,Livre de Poche,Mass Market Paperback,320,2006,2005,,2016/01/17,,,read,,,,1,0
1165783,Elementary Principles of Philosophy,Georges Politzer,"Politzer, Georges",جهانگیر افکاری,"=""0717804690""","=""9780717804696""",5,3.81,International Publishers,Paperback,171,1976,1954,,2016/01/17,,,read,,,,1,0
5470,1984,George Orwell,"Orwell, George",,"=""""","=""""",5,4.19,New American Library,Mass Market Paperback,328,1950,1949,,2016/01/17,,,read,A revolutionary book ...,,,1,0
